구간,경도,위도,고도
1,126.971689,35.126258,299
2,126.971729,35.126225,299
3,126.971734,35.126182,299
4,126.971751,35.126184,299
5,126.971766,35.126159,304
6,126.971758,35.126095,308
7,126.971789,35.126066,308
8,126.971817,35.126064,308
9,126.971839,35.126026,308
10,126.971841,35.126,308
11,126.971853,35.125962,308
12,126.971881,35.125951,308
13,126.971892,35.125926,308
14,126.971923,35.125886,308
15,126.971933,35.125861,308
16,126.971953,35.125838,306
17,126.97198,35.125811,306
18,126.971999,35.125793,306
19,126.972015,35.125767,306
20,126.972024,35.12574,306
21,126.972044,35.125715,311
22,126.972076,35.125711,311
23,126.972079,35.125682,311
24,126.972106,35.125665,311
25,126.972135,35.125623,311
26,126.972187,35.125606,311
27,126.972193,35.125596,311
28,126.972221,35.125565,311
29,126.972227,35.125538,305
30,126.972244,35.125515,305
31,126.97227,35.125486,305
32,126.972271,35.125461,305
33,126.972311,35.125434,311
34,126.972338,35.125413,311
35,126.972355,35.125384,311
36,126.972355,35.125361,311
37,126.972383,35.125224,309
38,126.972407,35.125198,309
39,126.972422,35.12518,309
40,126.972435,35.125142,309
41,126.972426,35.125119,309
42,126.97244,35.125141,309
43,126.972457,35.125118,309
44,126.972488,35.125085,309
45,126.972509,35.125056,309
46,126.972529,35.125015,309
47,126.972565,35.124987,304
48,126.972583,35.124951,304
49,126.972568,35.124907,304
50,126.972554,35.124887,304
51,126.972547,35.124853,304
52,126.972556,35.124832,304
53,126.97259,35.124802,315
54,126.972598,35.124768,315
55,126.972598,35.124729,317
56,126.972588,35.124709,317
57,126.972598,35.124668,317
58,126.972612,35.124658,317
59,126.972649,35.124629,317
60,126.972657,35.124609,317
61,126.972663,35.124561,317
62,126.972682,35.124552,317
63,126.972698,35.124541,317
64,126.972727,35.124521,317
65,126.972763,35.124492,317
66,126.972796,35.124472,317
67,126.972821,35.12445,316
68,126.972873,35.124426,328
69,126.972865,35.124393,328
70,126.972887,35.124375,328
71,126.972889,35.124357,328
72,126.972887,35.124323,328
73,126.972882,35.124278,328
74,126.972909,35.124261,328
75,126.972912,35.124238,328
76,126.972935,35.124211,328
77,126.972965,35.124197,328
78,126.973009,35.124179,328
79,126.973027,35.124175,322
80,126.973064,35.12415,322
81,126.973104,35.124119,322
82,126.973122,35.124123,322
83,126.973151,35.124113,327
84,126.973182,35.124109,327
85,126.973218,35.124095,327
86,126.973252,35.124105,327
87,126.973285,35.124088,327
88,126.973287,35.124086,327
89,126.973338,35.1241,327
90,126.973392,35.124113,327
91,126.973423,35.124119,333
92,126.973477,35.124104,333
93,126.973505,35.124091,333
94,126.973532,35.124078,333
95,126.973575,35.124068,333
96,126.97361,35.124054,333
97,126.973631,35.124049,333
98,126.973686,35.124033,333
99,126.973693,35.124037,333
100,126.973708,35.124034,339
