구간,좌우,종명,개화,결실,비고
701,L,때죽나무,,,
701,L,진달래,,,
702,L,병꽃나무,,,
702,L,싸리,,,
703,L,국수나무,,,
703,L,때죽나무,,,
704,L,국수나무,,,
704,L,털진달래,,,
704,L,조록싸리,,,
705,L,병꽃나무,,,
705,L,보리수나무,,,
706,L,병꽃나무,,,
707,L,쥐똥나무,,,
708,L,때죽나무,,,
709,L,신갈나무,,,
709,L,진달래,,,
710,L,비목나무,,,
710,L,졸참나무,,,
710,L,노린재나무,,,
711,L,노린재나무,,,
712,L,자귀나무,,,
712,L,국수나무,,,
713,L,떡갈나무,,,
713,L,진달래,,,
714,L,국수나무,,,
714,L,물푸레나무,,,
715,L,신갈나무,,,
715,L,때죽나무,,,
716,L,찔레나무,,,
717,L,물푸레나무,,,
717,L,당단풍나무,,,
717,L,비목나무,,,
718,L,졸참나무,,,
718,L,작살나무,,1,
719,L,떡갈나무,,,
719,L,때죽나무,,,
720,L,개암나무,,,
721,L,국수나무,,,
721,L,개암나무,,,
722,L,때죽나무,,,
723,L,당단풍나무,,,
723,L,졸참나무,,,
723,L,졸참나무,,,
724,L,비목나무,,,
725,L,병꽃나무,,,
726,L,때죽나무,,,
726,L,노린재나무,,,
727,L,물푸레나무,,,
727,L,콩배나무,,,
728,L,졸참나무,,,
728,L,졸참나무,,,
729,L,노린재나무,,,
729,L,고추나무,,,
730,L,노린재나무,,,
730,L,졸참나무,,,
731,L,노린재나무,,,
731,L,졸참나무,,,
732,L,졸참나무,,,
733,L,-,,,
734,L,신갈나무,,,
734,L,진달래,,,
735,L,신갈나무,,,
735,L,비목나무,,,
736,L,졸참나무,,,
737,L,졸참나무,,,
738,L,개암나무,,,
739,L,고추나무,,,
739,L,조릿대,,,
740,L,고추나무,,,
740,L,떡갈나무,,,
740,L,졸참나무,,,
740,L,졸참나무,,,
740,L,조릿대,,,
741,L,당단풍나무,,,
742,L,사람주나무,,,
742,L,산뽕나무,,,
742,L,때죽나무,,,
743,L,조릿대,,,
744,L,때죽나무,,,
744,L,때죽나무,,,
744,L,때죽나무,,,
744,L,조릿대,,,
745,L,조릿대,,,
746,L,조릿대,,,
746,L,보리수나무,,,
747,L,조릿대,,,
748,L,비목나무,,,
748,L,보리수나무,,,
748,L,찔레나무,,,
749,L,쥐똥나무,,,
749,L,조릿대,,,
750,L,떡갈나무,,,
750,L,싸리,,,
751,L,싸리,,,
751,L,찔레나무,,,
752,L,고추나무,,,
753,L,고추나무,,,
754,L,느릅나무,,,
755,L,비목나무,,,
755,L,신갈나무,,,
756,L,비목나무,,,
757,L,떡갈나무,,,
757,L,비목나무,,,
758,L,때죽나무,,,
758,L,산벚나무,,,
759,L,졸참나무,,,
760,L,졸참나무,,,
760,L,쥐똥나무,,,
761,L,노린재나무,,,
762,L,조릿대,,,
762,L,졸참나무,,,
762,L,졸참나무,,,
763,L,떡갈나무,,,
763,L,때죽나무,,,
764,L,조릿대,,,
765,L,비목나무,,,
766,L,때죽나무,,,
767,L,고추나무,,,
767,L,비목나무,,,
768,L,-,,,
769,L,으름덩굴,,,
770,L,고추나무,,,
770,L,으름덩굴,,,
771,L,회잎나무,,1,
772,L,회잎나무,,1,
772,L,으름덩굴,,,
772,L,때죽나무,,,
773,L,회잎나무,,1,
774,L,물푸레나무,,,
774,L,산벚나무,,,
774,L,병꽃나무,,,
775,L,때죽나무,,,
775,L,때죽나무,,,
775,L,때죽나무,,,
776,L,사람주나무,,,
776,L,때죽나무,,,
776,L,때죽나무,,,
777,L,물푸레나무,,,
777,L,신갈나무,,,
778,L,참회나무,,,
778,L,신갈나무,,,
779,L,물푸레나무,,,
780,L,상수리나무,,,
780,L,물푸레나무,,,
781,L,때죽나무,,,
781,L,당단풍나무,,,
781,L,조릿대,,,
782,L,때죽나무,,,
782,L,조릿대,,,
783,L,조릿대,,,
783,L,때죽나무,,,
784,L,신갈나무,,,
785,L,조릿대,,,
785,L,신갈나무,,,
786,L,상수리나무,,,
786,L,조릿대,,,
787,L,조릿대,,,
787,L,얇은잎고광나무,,,
788,L,짝자래나무,,,
789,L,참빗살나무,,,
789,L,병꽃나무,,,
790,L,물푸레나무,,,
790,L,노린재나무,,,
791,L,신갈나무,,,
791,L,노린재나무,,,
792,L,물푸레나무,,,
792,L,산벚나무,,,
793,L,신갈나무,,,
793,L,병꽃나무,,,
794,L,산벚나무,,,
794,L,개암나무,,,
794,L,신갈나무,,,
794,L,조릿대,,,
795,L,때죽나무,,,
795,L,신갈나무,,,
795,L,조릿대,,,
796,L,생강나무,,,
796,L,신갈나무,,,
796,L,조릿대,,,
797,L,신갈나무,,,
797,L,조릿대,,,
797,L,때죽나무,,,
797,L,때죽나무,,,
798,L,조릿대,,,
798,L,사람주나무,,,
798,L,신갈나무,,,
799,L,생강나무,,,
799,L,신갈나무,,,
800,L,-,,,
