구간,경도,위도,고도
901,126.996137,35.117433,828
902,126.996205,35.117441,838
903,126.996199,35.11743,838
904,126.996258,35.117407,838
905,126.996271,35.117389,838
906,126.996271,35.117366,838
907,126.996278,35.117356,838
908,126.996328,35.117374,838
909,126.996344,35.117342,838
910,126.996417,35.117318,838
911,126.996374,35.117293,838
912,126.99642,35.11728,838
913,126.996399,35.117261,838
914,126.996475,35.117255,848
915,126.99653,35.117209,847
916,126.996564,35.117234,848
917,126.996545,35.117192,847
918,126.996576,35.11721,847
919,126.996598,35.117183,847
920,126.996634,35.11719,847
921,126.996626,35.117159,847
922,126.996649,35.117148,847
923,126.996701,35.117126,847
924,126.996701,35.117121,847
925,126.996704,35.117146,847
926,126.996765,35.117119,850
927,126.996791,35.117085,850
928,126.996794,35.117076,850
929,126.996835,35.11705,850
930,126.996859,35.117034,850
931,126.996953,35.117068,850
932,126.996979,35.117035,850
933,126.996998,35.117035,850
934,126.997034,35.117038,858
935,126.997049,35.117008,858
936,126.997083,35.117005,858
937,126.997088,35.116978,858
938,126.997105,35.116974,858
939,126.997156,35.116959,858
940,126.99718,35.116966,858
941,126.997191,35.116958,858
942,126.997225,35.116913,859
943,126.997248,35.116918,859
944,126.997275,35.116903,859
945,126.997289,35.116924,859
946,126.997311,35.116921,871
947,126.997332,35.116892,871
948,126.997388,35.116876,871
949,126.997407,35.11687,871
950,126.997427,35.116873,871
951,126.997456,35.116852,871
952,126.997454,35.116828,871
953,126.997491,35.116829,871
954,126.997548,35.116823,871
955,126.997537,35.116794,871
956,126.99754,35.11676,871
957,126.997558,35.116727,871
958,126.997593,35.116729,880
959,126.997644,35.116711,880
960,126.997663,35.116713,880
961,126.997692,35.116696,880
962,126.997676,35.116682,880
963,126.997734,35.116678,880
964,126.997741,35.116643,880
965,126.997772,35.116645,880
966,126.997806,35.116618,880
967,126.99783,35.116615,880
968,126.997854,35.116626,880
969,126.997897,35.116614,884
970,126.997933,35.11661,884
971,126.997951,35.116607,884
972,126.997984,35.116617,884
973,126.99801,35.116578,884
974,126.998058,35.116561,884
975,126.998057,35.116557,884
976,126.998111,35.116556,884
977,126.998119,35.116561,884
978,126.998169,35.116537,889
979,126.998186,35.116529,889
980,126.998211,35.116543,889
981,126.998247,35.116551,889
982,126.998266,35.116543,889
983,126.998303,35.116522,889
984,126.99832,35.116512,889
985,126.998351,35.116493,889
986,126.998378,35.116487,889
987,126.998396,35.116474,889
988,126.998426,35.116452,898
989,126.998449,35.116454,898
990,126.99848,35.116432,898
991,126.998499,35.1164,898
992,126.998518,35.116402,898
993,126.998533,35.116387,897
994,126.998523,35.116362,897
995,126.998529,35.116342,897
996,126.998547,35.116309,897
997,126.99856,35.116292,897
998,126.998575,35.116282,897
