구간,좌우,종명,개화,결실,비고
401,R,때죽나무,,,
402,R,팥배나무,,,
403,R,때죽나무,,,
404,R,때죽나무,,,
405,R,산벚나무,,,
406,R,물푸레나무,,,
407,R,때죽나무,,,
407,R,졸참나무,,,
407,R,졸참나무,,,
408,R,때죽나무,,,
408,R,졸참나무,,,
409,R,때죽나무,,,
410,R,물푸레나무,,,
410,R,때죽나무,,,
411,R,때죽나무,,,
412,R,팥배나무,,,
413,R,물푸레나무,,,
414,R,때죽나무,,,
415,R,때죽나무,,,
415,R,때죽나무,,,
416,R,졸참나무,,,
417,R,때죽나무,,,
417,R,산벚나무,,,
418,R,졸참나무,,,
419,R,때죽나무,,,
419,R,때죽나무,,,
420,R,층층나무,,,
421,R,때죽나무,,,
422,R,때죽나무,,,
423,R,굴참나무,,,
424,R,산벚나무,,,
425,R,국수나무,,,
426,R,국수나무,,,
427,R,개암나무,,,
427,R,털진달래,,,
428,R,비목나무,,,
428,R,소나무,,,
429,R,산벚나무,,,
429,R,졸참나무,,,
430,R,물푸레나무,,,
431,R,병꽃나무,,,
432,R,졸참나무,,,
432,R,때죽나무,,,
432,R,소나무,,,
433,R,때죽나무,,,
434,R,노린재나무,,,
435,R,산벚나무,,,
436,R,때죽나무,,,
437,R,졸참나무,,,
438,R,병꽃나무,,,
439,R,쥐똥나무,,1,
439,R,졸참나무,,,
440,R,버드나무,,,
441,R,국수나무,,,
441,R,때죽나무,,,
442,R,노린재나무,,,
443,R,때죽나무,,,
444,R,층층나무,,,
444,R,때죽나무,,,
445,R,때죽나무,,,
446,R,-,,,
447,R,굴참나무,,,
447,R,굴참나무,,,
448,R,때죽나무,,,
449,R,산벚나무,,,
450,R,비목나무,,,
451,R,때죽나무,,,
451,R,노린재나무,,,
452,R,노린재나무,,,
452,R,때죽나무,,,
453,R,때죽나무,,,
453,R,서어나무,,,
454,R,때죽나무,,,
454,R,층층나무,,,
455,R,졸참나무,,,
455,R,층층나무,,,
456,R,소나무,,,
456,R,때죽나무,,,
457,R,때죽나무,,,
457,R,때죽나무,,,
458,R,졸참나무,,,
458,R,졸참나무,,,
459,R,꾸지뽕나무,,,
460,R,국수나무,,,
461,R,물푸레나무,,,
462,R,때죽나무,,,
462,R,산벚나무,,,
463,R,떡갈나무,,,
464,R,국수나무,,,
464,R,산벚나무,,,
465,R,쥐똥나무,,,
466,R,쥐똥나무,,,
467,R,때죽나무,,,
467,R,산뽕나무,,,
468,R,때죽나무,,,
469,R,물푸레나무,,,
469,R,때죽나무,,,
470,R,병꽃나무,,,
470,R,병꽃나무,,,
471,R,소나무,,,
471,R,병꽃나무,,,
472,R,물푸레나무,,,
472,R,병꽃나무,,,
473,R,병꽃나무,,,
473,R,병꽃나무,,,
474,R,털진달래,,,
475,R,물푸레나무,,,
475,R,병꽃나무,,,
476,R,물푸레나무,,,
476,R,병꽃나무,,,
477,R,물푸레나무,,,
477,R,병꽃나무,,,
478,R,병꽃나무,,,
478,R,국수나무,,,
479,R,털진달래,,,
480,R,물푸레나무,,,
481,R,물푸레나무,,,
481,R,털진달래,,,
482,R,병꽃나무,,,
483,R,병꽃나무,,,
484,R,병꽃나무,,,
484,R,국수나무,,,
485,R,상수리나무,,,
485,R,병꽃나무,,,
486,R,병꽃나무,,,
486,R,물푸레나무,,,
487,R,산벚나무,,,
487,R,병꽃나무,,,
488,R,병꽃나무,,,
489,R,-,,,
490,R,보리수나무,,,
491,R,층층나무,,,
491,R,싸리,,,
492,R,때죽나무,,,
493,R,싸리,,,
494,R,때죽나무,,,
495,R,싸리,,,
495,R,산초나무,,,
496,R,-,,,
497,R,-,,,억새
498,R,보리수나무,,,
499,R,-,,,억새
500,R,-,,,억새
