구간,좌우,종명,개화,결실,비고
1,L,-,,,
2,L,단풍나무,,,식재
3,L,단풍나무,,,식재
4,L,-,,,
5,L,-,,,
6,L,-,,,
7,L,-,,,
8,L,느티나무,,,
9,L,-,,,
10,L,-,,,
11,L,-,,,
12,L,단풍나무,,,식재
12,L,가막살나무,,1,
13,L,느티나무,,,
14,L,가막살나무,,,
14,L,찔레나무,,,
15,L,단풍나무,,,
15,L,가막살나무,,1,
16,L,가막살나무,,1,
17,L,산벚나무,,,
17,L,철쭉sp.,,,식재
18,L,개나리,,,식재
18,L,느티나무,,,
19,L,졸참나무,,,
19,L,느티나무,,,
20,L,졸참나무,,,
20,L,느티나무,,,
21,L,졸참나무,,,
22,L,졸참나무,,,
23,L,느티나무,,,
23,L,졸참나무,,,
23,L,갈참나무,,,
24,L,느티나무,,,
25,L,느티나무,,,
26,L,-,,,
27,L,때죽나무,,,
28,L,동백나무,,,
29,L,느티나무,,,
30,L,동백나무,,,
31,L,-,,,
32,L,느티나무,,,
33,L,-,,,
34,L,-,,,
35,L,산복사나무,,,
36,L,-,,,
37,L,찔레나무,,,
38,L,국수나무,,,
39,L,국수나무,,,
40,L,국수나무,,,
41,L,비목나무,,,
42,L,감나무,,,
43,L,층층나무,,,
44,L,삼나무,,,
44,L,가래나무,,,
45,L,개나리,,,
45,L,삼나무,,,군락
46,L,노각나무,,,
46,L,산벚나무,,,
46,L,쥐똥나무,,,
47,L,때죽나무,,,
48,L,노린재나무,,,
48,L,밤나무,,,
48,L,산벚나무,,,
49,L,층층나무,,,
50,L,때죽나무,,,
50,L,비목나무,,,
51,L,산벚나무,,,
51,L,비목나무,,,
52,L,산벚나무,,,
52,L,비목나무,,,
53,L,때죽나무,,,
54,L,때죽나무,,,
55,L,때죽나무,,,
55,L,때죽나무,,,
55,L,때죽나무,,,
56,L,느티나무,,,
56,L,때죽나무,,,
57,L,생강나무,,,
57,L,국수나무,,,
58,L,단풍나무,,,
58,L,귀룽나무,,,
59,L,단풍나무,,,
60,L,단풍나무,,,
61,L,비목나무,,,
62,L,비목나무,,,
62,L,느티나무,,,
63,L,비목나무,,,
64,L,팽나무,,,
64,L,비목나무,,,
65,L,때죽나무,,,
65,L,비목나무,,,
66,L,비목나무,,,
66,L,꾸지뽕나무,,,
66,L,비목나무,,,
66,L,산벚나무,,,
67,L,산가막살나무,,1,
68,L,물푸레나무,,,
68,L,비목나무,,,
69,L,비목나무,,,
69,L,국수나무,,,
70,L,산가막살나무,,,
71,L,국수나무,,,
72,L,으름덩굴,,,
72,L,국수나무,,,
73,L,비목나무,,,
74,L,으름덩굴,,,
74,L,싸리,,,
74,L,비목나무,,,
75,L,산벚나무,,,
75,L,비목나무,,,
76,L,보리수나무,,,
76,L,산벚나무,,,
77,L,때죽나무,,,
78,L,때죽나무,,,
78,L,팽나무,,,
79,L,-,,,
80,L,-,,,
81,L,버드나무,,,
82,L,찔레나무,,,
82,L,싸리,,,
83,L,찔레나무,,,
84,L,쥐똥나무,,,
85,L,쥐똥나무,,,
85,L,꾸지뽕나무,,,
86,L,때죽나무,,,
86,L,꾸지뽕나무,,,
87,L,꾸지뽕나무,,,
87,L,꾸지뽕나무,,,
88,L,꾸지뽕나무,,,
88,L,은행나무,,,
89,L,꾸지뽕나무,,,
89,L,꾸지뽕나무,,,
89,L,꾸지뽕나무,,,
89,L,꾸지뽕나무,,,
89,L,꾸지뽕나무,,,
90,L,느티나무,,,
91,L,꾸지뽕나무,,,
91,L,노린재나무,,1,
92,L,꾸지뽕나무,,,
92,L,꾸지뽕나무,,,
93,L,꾸지뽕나무,,,
93,L,꾸지뽕나무,,,
94,L,으름덩굴,,,
95,L,으름덩굴,,,
96,L,산가막살나무,,1,
97,L,찔레나무,,,
98,L,-,,,
99,L,팽나무,,,
100,L,찔레나무,,,
