구간,좌우,종명,개화,결실,비고
201,R,사방오리,,,
202,R,사방오리,,,
202,R,비목나무,,,
202,R,쥐똥나무,,1,
203,R,사방오리,,,
204,R,느릅나무,,,
204,R,사방오리,,,
205,R,-,,,
206,R,-,,,
207,R,비목나무,,,
208,R,말채나무,,,
209,R,비목나무,,,
209,R,팽나무,,,
209,R,자귀나무,,,
210,R,보리수나무,,,
210,R,보리수나무,,,
211,R,보리수나무,,,
211,R,꾸지뽕나무,,,
212,R,자귀나무,,,
213,R,고추나무,,,
213,R,느티나무,,,
214,R,산벚나무,,,
215,R,신나무,,,
216,R,신나무,,,
217,R,-,,,
218,R,고로쇠나무,,,
218,R,쥐똥나무,,,
219,R,왕대,,,
220,R,대팻집나무,,,
221,R,팽나무,,,
221,R,자귀나무,,,
221,R,신나무,,,
222,R,졸참나무,,,
223,R,신나무,,,
224,R,회잎나무,,,
225,R,회잎나무,,,
226,R,꾸지뽕나무,,,
226,R,느티나무,,,
227,R,때죽나무,,,
227,R,자귀나무,,,
228,R,-,,,
229,R,신나무,,,
229,R,때죽나무,,,
230,R,자귀나무,,,
231,R,찔레나무,,,
231,R,때죽나무,,,
232,R,감태나무,,,
233,R,때죽나무,,,
233,R,팽나무,,,
234,R,상산,,,
235,R,때죽나무,,,
236,R,버드나무,,,
237,R,때죽나무,,,
237,R,상수리나무,,,
238,R,버드나무,,,
239,R,-,,,
240,R,-,,,
241,R,병꽃나무,,,
242,R,신나무,,,
243,R,상수리나무,,,
244,R,꾸지뽕나무,,,
245,R,때죽나무,,,
245,R,팽나무,,,
246,R,상산,,,
246,R,때죽나무,,,
247,R,팽나무,,,
247,R,팽나무,,,
248,R,팽나무,,,
249,R,때죽나무,,,
249,R,자귀나무,,,
250,R,꾸지뽕나무,,,
251,R,때죽나무,,,
252,R,때죽나무,,,
253,R,신나무,,,
253,R,상산,,,
254,R,팽나무,,,
255,R,느티나무,,,
256,R,고로쇠나무,,,
257,R,팽나무,,,
257,R,때죽나무,,,
258,R,때죽나무,,,
259,R,때죽나무,,,
260,R,팽나무,,,
261,R,때죽나무,,,
262,R,팽나무,,,
262,R,때죽나무,,,
263,R,-,,,
264,R,산벚나무,,,
265,R,-,,,
266,R,산벚나무,,,
267,R,때죽나무,,,
267,R,느티나무,,,
268,R,느릅나무,,,
268,R,조릿대,,,
269,R,때죽나무,,,
269,R,조릿대,,,
270,R,꾸지뽕나무,,,
271,R,꾸지뽕나무,,,
271,R,느티나무,,,
271,R,팽나무,,,
272,R,팽나무,,,
272,R,꾸지뽕나무,,,
273,R,꾸지뽕나무,,,
273,R,국수나무,,,
273,R,상수리나무,,,
274,R,때죽나무,,,
275,R,상수리나무,,,
276,R,때죽나무,,,
277,R,상수리나무,,,
277,R,상수리나무,,,
278,R,상수리나무,,,
278,R,상수리나무,,,
278,R,신나무,,,
279,R,상수리나무,,,
280,R,-,,,
281,R,상수리나무,,,
281,R,상수리나무,,,
281,R,상수리나무,,,
282,R,꾸지뽕나무,,,
283,R,신나무,,,
283,R,신나무,,,
284,R,때죽나무,,,
285,R,신나무,,,
286,R,비목나무,,,
287,R,층층나무,,,
287,R,층층나무,,,
288,R,병꽃나무,,,
289,R,-,,,
290,R,때죽나무,,,
290,R,상수리나무,,,
290,R,상수리나무,,,
291,R,조릿대,,,
291,R,상수리나무,,,
292,R,조릿대,,,
292,R,때죽나무,,,
293,R,조릿대,,,
293,R,상수리나무,,,
294,R,조릿대,,,
294,R,상수리나무,,,
295,R,산벚나무,,,
296,R,조릿대,,,
297,R,조릿대,,,
298,R,조릿대,,,
298,R,산벚나무,,,
299,R,조릿대,,,
300,R,때죽나무,,,
